dataset,config,policy_mode,selectivity,k,num_queries,visible_ratio,unrestricted_recall,post_filter_recall,authorized_recall,underfill_rate,avg_visible_results,violation_count,violation_rate,utility_gap,affected_query_rate,reference_scope
sift1m,zk-opt,clustered_acl,0.1,1,10000,0.09950500000000002,0.2812,0.0273,0.0567,0.9005,0.0995,0,0.0,0.0294,0.9004,candidate_level
sift1m,zk-opt,clustered_acl,0.1,10,10000,0.09950500000000002,0.6676,0.0631,0.0835,1.0,1.0069,0,0.0,0.0204,0.9999,candidate_level
sift1m,zk-opt,clustered_acl,0.1,100,10000,0.09950500000000002,0.8702,0.084,0.084,1.0,9.9505,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,clustered_acl,0.25,1,10000,0.249704,0.2812,0.0695,0.1175,0.75,0.25,0,0.0,0.04799999999999999,0.75,candidate_level
sift1m,zk-opt,clustered_acl,0.25,10,10000,0.249704,0.6676,0.1706,0.21,1.0,2.5265,0,0.0,0.03939999999999999,1.0,candidate_level
sift1m,zk-opt,clustered_acl,0.25,100,10000,0.249704,0.8702,0.2223,0.2223,1.0,24.9704,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,clustered_acl,0.5,1,10000,0.5000030000000001,0.2812,0.1373,0.1799,0.5004,0.4996,0,0.0,0.0426,0.5004,candidate_level
sift1m,zk-opt,clustered_acl,0.5,10,10000,0.5000030000000001,0.6676,0.3313,0.3793,0.999,5.0006,0,0.0,0.04800000000000004,0.999,candidate_level
sift1m,zk-opt,clustered_acl,0.5,100,10000,0.5000030000000001,0.8702,0.4339,0.4339,1.0,50.0003,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,clustered_acl,0.75,1,10000,0.75005,0.2812,0.213,0.2392,0.2436,0.7564,0,0.0,0.0262,0.2436,candidate_level
sift1m,zk-opt,clustered_acl,0.75,10,10000,0.75005,0.6676,0.5033,0.5344,0.9423,7.5188,0,0.0,0.031100000000000017,0.9423,candidate_level
sift1m,zk-opt,clustered_acl,0.75,100,10000,0.75005,0.8702,0.656,0.656,1.0,75.005,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,skewed_acl,0.1,1,10000,0.09987000000000001,0.2812,0.0286,0.0631,0.9022,0.0978,0,0.0,0.0345,0.9022,candidate_level
sift1m,zk-opt,skewed_acl,0.1,10,10000,0.09987000000000001,0.6676,0.0711,0.0904,1.0,1.0014,0,0.0,0.019299999999999998,1.0,candidate_level
sift1m,zk-opt,skewed_acl,0.1,100,10000,0.09987000000000001,0.8702,0.0908,0.0908,1.0,9.987,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,skewed_acl,0.25,1,10000,0.24951199999999998,0.2812,0.0671,0.1142,0.751,0.249,0,0.0,0.04709999999999999,0.751,candidate_level
sift1m,zk-opt,skewed_acl,0.25,10,10000,0.24951199999999998,0.6676,0.1676,0.2055,1.0,2.4831,0,0.0,0.03789999999999999,1.0,candidate_level
sift1m,zk-opt,skewed_acl,0.25,100,10000,0.24951199999999998,0.8702,0.2176,0.2176,1.0,24.9512,0,0.0,0.0,0.0,candidate_level
sift1m,zk-opt,skewed_acl,0.5,1,10000,0.49939400000000006,0.2812,0.1368,0.1816,0.5117,0.4883,0,0.0,0.044800000000000006,0.5117,candidate_level
sift1m,zk-opt,skewed_acl,0.5,10,10000,0.49939400000000006,0.6676,0.3322,0.3805,0.9995,4.9679,0,0.0,0.04830000000000001,0.9995,candidate_level
