dataset,config,policy_mode,selectivity,query_id,k,post_filter_recall,candidate_reference_recall,full_authorized_recall,post_filter_underfill,candidate_vs_full_overlap,post_filter_vs_full_overlap,reference_scope,full_base,visible_count,visible_ratio,dim,num_base
gist1m,high-acc,uniform_random,0.75,980,10,1.0,1.0,1.0,1.0,0.3,0.3,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,uniform_random,0.75,980,100,1.0,1.0,1.0,1.0,0.25,0.25,full_base_calibration,True,750353,0.750353,960,1000000
gist1m,high-acc,clustered_acl,0.1,95,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,95,10,0.0,1.0,1.0,1.0,0.3,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,95,100,1.0,1.0,1.0,1.0,0.07,0.07,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,213,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,213,10,0.0,1.0,1.0,1.0,0.1,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,213,100,1.0,1.0,1.0,1.0,0.04,0.04,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,306,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,306,10,0.0,1.0,1.0,1.0,0.3,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,306,100,1.0,1.0,1.0,1.0,0.06,0.06,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,471,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,471,10,0.0,1.0,1.0,1.0,0.2,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,471,100,1.0,1.0,1.0,1.0,0.07,0.07,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,878,1,0.0,1.0,1.0,1.0,1.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,878,10,0.0,1.0,1.0,1.0,0.1,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,878,100,1.0,1.0,1.0,1.0,0.01,0.01,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,335,1,0.0,0.0,0.0,1.0,1.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,335,10,0.0,0.0,0.0,1.0,0.3,0.1,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,335,100,0.0,0.0,0.0,1.0,0.07,0.07,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,402,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,402,10,0.0,0.0,0.0,1.0,0.2,0.1,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,402,100,0.0,0.0,0.0,1.0,0.04,0.04,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,501,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,501,10,0.0,0.0,0.0,1.0,0.3,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,501,100,0.0,0.0,0.0,1.0,0.1,0.1,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,645,1,0.0,0.0,0.0,1.0,0.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,645,10,0.0,0.0,0.0,1.0,0.1,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,645,100,0.0,0.0,0.0,1.0,0.02,0.02,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,975,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,975,10,0.0,0.0,1.0,1.0,0.1,0.0,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.1,975,100,1.0,1.0,1.0,1.0,0.06,0.06,full_base_calibration,True,100000,0.1,960,1000000
gist1m,high-acc,clustered_acl,0.25,119,1,0.0,0.0,1.0,0.0,0.0,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,119,10,0.0,1.0,1.0,1.0,0.1,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,119,100,1.0,1.0,1.0,1.0,0.16,0.16,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,342,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,342,10,0.0,1.0,1.0,1.0,0.2,0.0,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,342,100,1.0,1.0,1.0,1.0,0.12,0.12,full_base_calibration,True,250000,0.25,960,1000000
gist1m,high-acc,clustered_acl,0.25,541,1,0.0,0.0,1.0,1.0,0.0,0.0,full_base_calibration,True,250000,0.25,960,1000000
