dataset,config,policy_mode,selectivity,k,num_queries,num_base,dim,full_base,visible_count,visible_ratio,post_filter_recall,candidate_reference_recall,full_authorized_recall,post_filter_underfill_rate,candidate_vs_full_overlap,post_filter_vs_full_overlap,candidate_full_recall_gap,post_full_recall_gap,reference_scope
sift1m,zk-opt,clustered_acl,0.5,1,15,1000000,128,True,500000,0.5,0.13333333333333333,0.13333333333333333,0.7333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,-0.6,-0.6,full_base_calibration
sift1m,zk-opt,clustered_acl,0.5,10,15,1000000,128,True,500000,0.5,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.45333333333333325,0.31333333333333335,-0.06666666666666665,-0.39999999999999997,full_base_calibration
sift1m,zk-opt,clustered_acl,0.5,100,15,1000000,128,True,500000,0.5,0.6666666666666666,0.6666666666666666,0.7333333333333333,1.0,0.3133333333333334,0.3133333333333334,-0.06666666666666665,-0.06666666666666665,full_base_calibration
sift1m,zk-opt,clustered_acl,0.75,1,15,1000000,128,True,750000,0.75,0.13333333333333333,0.2,0.9333333333333333,0.4,0.2,0.13333333333333333,-0.7333333333333334,-0.8,full_base_calibration
sift1m,zk-opt,clustered_acl,0.75,10,15,1000000,128,True,750000,0.75,0.4666666666666667,0.8,1.0,0.6666666666666666,0.38,0.32666666666666677,-0.19999999999999996,-0.5333333333333333,full_base_calibration
sift1m,zk-opt,clustered_acl,0.75,100,15,1000000,128,True,750000,0.75,0.9333333333333333,0.9333333333333333,1.0,1.0,0.382,0.382,-0.06666666666666665,-0.06666666666666665,full_base_calibration
sift1m,zk-opt,skewed_acl,0.1,1,10,1000000,128,True,100000,0.1,0.1,0.2,0.6,0.7,0.2,0.1,-0.39999999999999997,-0.5,full_base_calibration
sift1m,zk-opt,skewed_acl,0.1,10,10,1000000,128,True,100000,0.1,0.1,0.6,0.6,1.0,0.49000000000000005,0.11000000000000001,0.0,-0.5,full_base_calibration
sift1m,zk-opt,skewed_acl,0.1,100,10,1000000,128,True,100000,0.1,0.6,0.6,0.6,1.0,0.10200000000000001,0.10200000000000001,0.0,0.0,full_base_calibration
sift1m,zk-opt,skewed_acl,0.25,1,10,1000000,128,True,250000,0.25,0.1,0.1,0.8,0.7,0.1,0.1,-0.7000000000000001,-0.7000000000000001,full_base_calibration
sift1m,zk-opt,skewed_acl,0.25,10,10,1000000,128,True,250000,0.25,0.2,0.7,0.8,1.0,0.33999999999999997,0.10999999999999999,-0.10000000000000009,-0.6000000000000001,full_base_calibration
sift1m,zk-opt,skewed_acl,0.25,100,10,1000000,128,True,250000,0.25,0.7,0.7,0.8,1.0,0.17999999999999997,0.17999999999999997,-0.10000000000000009,-0.10000000000000009,full_base_calibration
sift1m,zk-opt,skewed_acl,0.5,1,15,1000000,128,True,500000,0.5,0.13333333333333333,0.13333333333333333,0.8666666666666667,0.26666666666666666,0.2,0.13333333333333333,-0.7333333333333334,-0.7333333333333334,full_base_calibration
sift1m,zk-opt,skewed_acl,0.5,10,15,1000000,128,True,500000,0.5,0.26666666666666666,0.6,0.8666666666666667,0.6666666666666666,0.44666666666666666,0.3466666666666667,-0.2666666666666667,-0.6000000000000001,full_base_calibration
sift1m,zk-opt,skewed_acl,0.5,100,15,1000000,128,True,500000,0.5,0.6666666666666666,0.6666666666666666,0.8666666666666667,1.0,0.3180000000000001,0.3180000000000001,-0.20000000000000007,-0.20000000000000007,full_base_calibration
sift1m,zk-opt,skewed_acl,0.75,1,15,1000000,128,True,750000,0.75,0.13333333333333333,0.13333333333333333,0.8666666666666667,0.2,0.2,0.2,-0.7333333333333334,-0.7333333333333334,full_base_calibration
sift1m,zk-opt,skewed_acl,0.75,10,15,1000000,128,True,750000,0.75,0.4,0.7333333333333333,0.8666666666666667,0.6666666666666666,0.3533333333333334,0.29333333333333333,-0.13333333333333341,-0.4666666666666667,full_base_calibration
sift1m,zk-opt,skewed_acl,0.75,100,15,1000000,128,True,750000,0.75,0.7333333333333333,0.7333333333333333,0.8666666666666667,1.0,0.37466666666666676,0.37466666666666676,-0.13333333333333341,-0.13333333333333341,full_base_calibration
gist1m,high-acc,uniform_random,0.1,1,10,1000000,960,True,100260,0.10026,0.0,0.1,0.7,1.0,0.2,0.0,-0.6,-0.7,full_base_calibration
gist1m,high-acc,uniform_random,0.1,10,10,1000000,960,True,100260,0.10026,0.0,0.5,0.7,1.0,0.21000000000000002,0.02,-0.19999999999999996,-0.7,full_base_calibration
gist1m,high-acc,uniform_random,0.1,100,10,1000000,960,True,100260,0.10026,0.5,0.5,0.7,1.0,0.06600000000000002,0.06600000000000002,-0.19999999999999996,-0.19999999999999996,full_base_calibration
gist1m,high-acc,uniform_random,0.25,1,10,1000000,960,True,249512,0.249512,0.0,0.0,0.7,0.8,0.0,0.0,-0.7,-0.7,full_base_calibration
gist1m,high-acc,uniform_random,0.25,10,10,1000000,960,True,249512,0.249512,0.0,0.5,0.7,1.0,0.13,0.02,-0.19999999999999996,-0.7,full_base_calibration
gist1m,high-acc,uniform_random,0.25,100,10,1000000,960,True,249512,0.249512,0.5,0.5,0.7,1.0,0.073,0.073,-0.19999999999999996,-0.19999999999999996,full_base_calibration
gist1m,high-acc,uniform_random,0.5,1,11,1000000,960,True,500412,0.500412,0.0,0.0,0.7272727272727273,0.45454545454545453,0.0,0.0,-0.7272727272727273,-0.7272727272727273,full_base_calibration
gist1m,high-acc,uniform_random,0.5,10,11,1000000,960,True,500412,0.500412,0.09090909090909091,0.5454545454545454,0.7272727272727273,0.9090909090909091,0.2090909090909091,0.0909090909090909,-0.18181818181818188,-0.6363636363636364,full_base_calibration
gist1m,high-acc,uniform_random,0.5,100,11,1000000,960,True,500412,0.500412,0.6363636363636364,0.6363636363636364,0.7272727272727273,1.0,0.12272727272727274,0.12272727272727274,-0.09090909090909094,-0.09090909090909094,full_base_calibration
gist1m,high-acc,uniform_random,0.75,1,15,1000000,960,True,750353,0.750353,0.0,0.0,0.7333333333333333,0.2,0.06666666666666667,0.06666666666666667,-0.7333333333333333,-0.7333333333333333,full_base_calibration
gist1m,high-acc,uniform_random,0.75,10,15,1000000,960,True,750353,0.750353,0.2,0.5333333333333333,0.8,0.6666666666666666,0.18000000000000002,0.14,-0.2666666666666667,-0.6000000000000001,full_base_calibration
gist1m,high-acc,uniform_random,0.75,100,15,1000000,960,True,750353,0.750353,0.6666666666666666,0.6666666666666666,0.8,1.0,0.18533333333333335,0.18533333333333335,-0.13333333333333341,-0.13333333333333341,full_base_calibration
gist1m,high-acc,clustered_acl,0.1,1,10,1000000,960,True,100000,0.1,0.0,0.1,0.6,0.9,0.2,0.0,-0.5,-0.6,full_base_calibration
gist1m,high-acc,clustered_acl,0.1,10,10,1000000,960,True,100000,0.1,0.0,0.5,0.6,1.0,0.2,0.02,-0.09999999999999998,-0.6,full_base_calibration
gist1m,high-acc,clustered_acl,0.1,100,10,1000000,960,True,100000,0.1,0.6,0.6,0.6,1.0,0.054000000000000006,0.054000000000000006,0.0,0.0,full_base_calibration
gist1m,high-acc,clustered_acl,0.25,1,10,1000000,960,True,250000,0.25,0.0,0.0,0.5,0.8,0.0,0.0,-0.5,-0.5,full_base_calibration
gist1m,high-acc,clustered_acl,0.25,10,10,1000000,960,True,250000,0.25,0.0,0.5,0.5,1.0,0.20999999999999996,0.06000000000000001,0.0,-0.5,full_base_calibration
gist1m,high-acc,clustered_acl,0.25,100,10,1000000,960,True,250000,0.25,0.5,0.5,0.5,1.0,0.10999999999999999,0.10999999999999999,0.0,0.0,full_base_calibration
gist1m,high-acc,clustered_acl,0.5,1,10,1000000,960,True,500000,0.5,0.0,0.0,0.8,0.7,0.0,0.0,-0.8,-0.8,full_base_calibration
gist1m,high-acc,clustered_acl,0.5,10,10,1000000,960,True,500000,0.5,0.0,0.5,0.8,1.0,0.2,0.10999999999999999,-0.30000000000000004,-0.8,full_base_calibration
gist1m,high-acc,clustered_acl,0.5,100,10,1000000,960,True,500000,0.5,0.6,0.6,0.8,1.0,0.189,0.189,-0.20000000000000007,-0.20000000000000007,full_base_calibration
gist1m,high-acc,clustered_acl,0.75,1,15,1000000,960,True,750000,0.75,0.13333333333333333,0.13333333333333333,0.9333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.8,-0.8,full_base_calibration
gist1m,high-acc,clustered_acl,0.75,10,15,1000000,960,True,750000,0.75,0.2,0.5333333333333333,0.9333333333333333,0.6666666666666666,0.15333333333333335,0.10666666666666667,-0.4,-0.7333333333333334,full_base_calibration
gist1m,high-acc,clustered_acl,0.75,100,15,1000000,960,True,750000,0.75,0.6,0.6,0.9333333333333333,1.0,0.16666666666666663,0.16666666666666663,-0.33333333333333337,-0.33333333333333337,full_base_calibration
gist1m,high-acc,skewed_acl,0.1,1,10,1000000,960,True,100000,0.1,0.0,0.0,0.5,1.0,0.1,0.0,-0.5,-0.5,full_base_calibration
gist1m,high-acc,skewed_acl,0.1,10,10,1000000,960,True,100000,0.1,0.0,0.5,0.5,1.0,0.15000000000000002,0.01,0.0,-0.5,full_base_calibration
gist1m,high-acc,skewed_acl,0.1,100,10,1000000,960,True,100000,0.1,0.5,0.5,0.5,1.0,0.046,0.046,0.0,0.0,full_base_calibration
gist1m,high-acc,skewed_acl,0.25,1,10,1000000,960,True,250000,0.25,0.1,0.1,0.7,0.9,0.1,0.1,-0.6,-0.6,full_base_calibration
gist1m,high-acc,skewed_acl,0.25,10,10,1000000,960,True,250000,0.25,0.1,0.6,0.7,1.0,0.23000000000000004,0.08,-0.09999999999999998,-0.6,full_base_calibration
gist1m,high-acc,skewed_acl,0.25,100,10,1000000,960,True,250000,0.25,0.7,0.7,0.7,1.0,0.11499999999999999,0.11499999999999999,0.0,0.0,full_base_calibration
gist1m,high-acc,skewed_acl,0.5,1,11,1000000,960,True,500000,0.5,0.09090909090909091,0.09090909090909091,0.6363636363636364,0.45454545454545453,0.09090909090909091,0.09090909090909091,-0.5454545454545454,-0.5454545454545454,full_base_calibration
gist1m,high-acc,skewed_acl,0.5,10,11,1000000,960,True,500000,0.5,0.09090909090909091,0.5454545454545454,0.6363636363636364,0.9090909090909091,0.19090909090909092,0.10909090909090909,-0.09090909090909094,-0.5454545454545454,full_base_calibration
gist1m,high-acc,skewed_acl,0.5,100,11,1000000,960,True,500000,0.5,0.5454545454545454,0.5454545454545454,0.6363636363636364,1.0,0.15727272727272726,0.15727272727272726,-0.09090909090909094,-0.09090909090909094,full_base_calibration
gist1m,high-acc,skewed_acl,0.75,1,15,1000000,960,True,750000,0.75,0.0,0.0,0.8,0.0,0.0,0.0,-0.8,-0.8,full_base_calibration
gist1m,high-acc,skewed_acl,0.75,10,15,1000000,960,True,750000,0.75,0.2,0.5333333333333333,0.8666666666666667,0.6666666666666666,0.12000000000000001,0.08,-0.33333333333333337,-0.6666666666666667,full_base_calibration
gist1m,high-acc,skewed_acl,0.75,100,15,1000000,960,True,750000,0.75,0.6666666666666666,0.6666666666666666,0.8666666666666667,1.0,0.17600000000000005,0.17600000000000005,-0.20000000000000007,-0.20000000000000007,full_base_calibration
gist1m,zk-opt,uniform_random,0.1,1,10,1000000,960,True,100260,0.10026,0.0,0.0,0.5,0.6,0.1,0.1,-0.5,-0.5,full_base_calibration
gist1m,zk-opt,uniform_random,0.1,10,10,1000000,960,True,100260,0.10026,0.0,0.5,0.5,1.0,0.21000000000000005,0.06,0.0,-0.5,full_base_calibration
gist1m,zk-opt,uniform_random,0.1,100,10,1000000,960,True,100260,0.10026,0.5,0.5,0.5,1.0,0.06400000000000002,0.06400000000000002,0.0,0.0,full_base_calibration
gist1m,zk-opt,uniform_random,0.25,1,10,1000000,960,True,249512,0.249512,0.0,0.0,0.6,0.9,0.0,0.0,-0.6,-0.6,full_base_calibration
gist1m,zk-opt,uniform_random,0.25,10,10,1000000,960,True,249512,0.249512,0.0,0.5,0.6,1.0,0.17,0.02,-0.09999999999999998,-0.6,full_base_calibration
gist1m,zk-opt,uniform_random,0.25,100,10,1000000,960,True,249512,0.249512,0.5,0.5,0.6,1.0,0.09900000000000002,0.09900000000000002,-0.09999999999999998,-0.09999999999999998,full_base_calibration
gist1m,zk-opt,uniform_random,0.5,1,10,1000000,960,True,500412,0.500412,0.0,0.0,0.8,0.4,0.0,0.0,-0.8,-0.8,full_base_calibration
gist1m,zk-opt,uniform_random,0.5,10,10,1000000,960,True,500412,0.500412,0.1,0.6,0.8,1.0,0.13,0.06000000000000001,-0.20000000000000007,-0.7000000000000001,full_base_calibration
gist1m,zk-opt,uniform_random,0.5,100,10,1000000,960,True,500412,0.500412,0.6,0.6,0.8,1.0,0.154,0.154,-0.20000000000000007,-0.20000000000000007,full_base_calibration
gist1m,zk-opt,uniform_random,0.75,1,15,1000000,960,True,750353,0.750353,0.13333333333333333,0.13333333333333333,0.8,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.6666666666666667,-0.6666666666666667,full_base_calibration
gist1m,zk-opt,uniform_random,0.75,10,15,1000000,960,True,750353,0.750353,0.2,0.5333333333333333,0.8,0.6666666666666666,0.14,0.10666666666666667,-0.2666666666666667,-0.6000000000000001,full_base_calibration
gist1m,zk-opt,uniform_random,0.75,100,15,1000000,960,True,750353,0.750353,0.7333333333333333,0.7333333333333333,0.8,1.0,0.15733333333333335,0.15733333333333335,-0.06666666666666676,-0.06666666666666676,full_base_calibration
gist1m,zk-opt,clustered_acl,0.1,1,10,1000000,960,True,100000,0.1,0.0,0.0,0.5,0.9,0.0,0.0,-0.5,-0.5,full_base_calibration
